gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5108435624	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/268079115	Animalia	Arthropoda	Insecta	Coleoptera	Lampyridae	Photinus	Photinus pyralis		SPECIES	Photinus pyralis (Linnaeus, 1767)	Photinus pyralis		US		Pennsylvania	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.985292	-79.554528	61.0						2024-07-04T14:45	4	7	2024	1162763	1162763	HUMAN_OBSERVATION	iNaturalist	Observations	268079115		Richard Joyce	2025-04-01T18:46:00	CC_BY_NC_4_0	Meghan Pierce	Meghan Pierce			2025-04-16T06:55:12.821Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5108285352	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/267424492	Animalia	Arthropoda	Insecta	Coleoptera	Lampyridae	Photinus	Photinus pyralis		SPECIES	Photinus pyralis (Linnaeus, 1767)	Photinus pyralis		US		Ohio	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	39.975647	-83.005456	12.0						2024-06-06T19:30:02	6	6	2024	1162763	1162763	HUMAN_OBSERVATION	iNaturalist	Observations	267424492		matthebt	2025-03-28T23:17:10	CC_BY_NC_4_0	matthebt	matthebt			2025-04-16T06:20:04.846Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5108052214	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/236493822	Animalia	Arthropoda	Insecta	Coleoptera	Lampyridae	Photinus	Photinus pyralis		SPECIES	Photinus pyralis (Linnaeus, 1767)	Photinus pyralis		US		Illinois	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.060011	-87.709726	122.0						2024-08-17T21:32	17	8	2024	1162763	1162763	HUMAN_OBSERVATION	iNaturalist	Observations	236493822		Ivan Nevirkovets	2024-08-18T13:11:25	CC_BY_NC_4_0	Ivan Nevirkovets	Ivan Nevirkovets			2025-04-16T06:27:43.032Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5108024768	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/168566388	Animalia	Arthropoda	Insecta	Coleoptera	Lampyridae	Photinus	Photinus pyralis		SPECIES	Photinus pyralis (Linnaeus, 1767)	Photinus pyralis		US		Virginia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.665328	-77.553283	3.0						2023-06-20T18:22:39	20	6	2023	1162763	1162763	HUMAN_OBSERVATION	iNaturalist	Observations	168566388		Laura Yates	2023-06-20T22:42:52	CC_BY_NC_4_0	Laura Yates	Laura Yates			2025-04-16T04:47:46.926Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5102789365	44fb5823-c1f5-4ac7-8e06-795a09a138f2	ee22eede-0f39-4f9e-b9fc-3626ac6a2fef	Animalia	Arthropoda	Insecta	Coleoptera	Lampyridae	Photinus	Photinus pyralis		SPECIES	Photinus pyralis (Linnaeus, 1767)	Photinus pyralis	(Linnaeus, 1767)	US	Powdermill Nature Reserve	Pennsylvania	PRESENT	1	cffcb703-dccc-464e-ade3-c5668311dcf6	40.163	-79.267							2023-09-02	2	9	2023	1162763	1162763	PRESERVED_SPECIMEN	PSUC	ENTO	PSUC_ENT532_2023_0530		Winnie Onyango		CC0_1_0		Winnie Onyango			2025-04-23T13:13:38.263Z		TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
5102788366	44fb5823-c1f5-4ac7-8e06-795a09a138f2	544302ea-1fc9-4656-a95c-2bc0d95b5a92	Animalia	Arthropoda	Insecta	Coleoptera	Lampyridae	Photinus	Photinus pyralis		SPECIES	Photinus pyralis (Linnaeus, 1767)	Photinus pyralis	(Linnaeus, 1767)	US	Near greenhouse 1 at FREC	Pennsylvania	PRESENT	1	cffcb703-dccc-464e-ade3-c5668311dcf6	39.934	-77.2546							2023-09-23	23	9	2023	1162763	1162763	PRESERVED_SPECIMEN	PSUC	ENTO	PSUC_ENT532_2023_2052		Tyler Seutter		CC0_1_0		Tyler Seutter			2025-04-23T13:13:38.261Z		TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
5087563691	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/263930990	Animalia	Arthropoda	Insecta	Coleoptera	Lampyridae	Photinus	Photinus pyralis		SPECIES	Photinus pyralis (Linnaeus, 1767)	Photinus pyralis		US		Michigan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.088732	-83.701366	2.0						2024-08-09T20:05	9	8	2024	1162763	1162763	HUMAN_OBSERVATION	iNaturalist	Observations	263930990		mgsbrown	2025-03-05T01:22:58	CC_BY_NC_4_0	mgsbrown	mgsbrown			2025-04-16T06:52:19.279Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5087417561	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/263767651	Animalia	Arthropoda	Insecta	Coleoptera	Lampyridae	Photinus	Photinus pyralis		SPECIES	Photinus pyralis (Linnaeus, 1767)	Photinus pyralis		US		Ohio	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	39.391678	-81.376197	3.0						2023-07-04T21:29:43	4	7	2023	1162763	1162763	HUMAN_OBSERVATION	iNaturalist	Observations	263767651		andijaelucas	2025-03-03T16:01:37	CC_BY_NC_4_0	andijaelucas	andijaelucas			2025-04-16T06:16:45.623Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5087197932	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/263158963	Animalia	Arthropoda	Insecta	Coleoptera	Lampyridae	Photinus	Photinus pyralis		SPECIES	Photinus pyralis (Linnaeus, 1767)	Photinus pyralis		US		North Carolina	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.084396	-79.811464	840.0						2024-07-07	7	7	2024	1162763	1162763	HUMAN_OBSERVATION	iNaturalist	Observations	263158963		Alexis Dodd	2025-02-26T14:30:54	CC_BY_NC_4_0	Alexis Dodd	Alexis Dodd			2025-04-16T06:16:12.649Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5087184496	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/254277741	Animalia	Arthropoda	Insecta	Coleoptera	Lampyridae	Photinus	Photinus pyralis		SPECIES	Photinus pyralis (Linnaeus, 1767)	Photinus pyralis		US		Missouri	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.594985	-90.409545	7.0						2024-07-01T20:38	1	7	2024	1162763	1162763	HUMAN_OBSERVATION	iNaturalist	Observations	254277741		Aspen Workman	2024-12-06T05:55:02	CC_BY_NC_4_0	Aspen Workman	Aspen Workman			2025-04-16T06:43:26.273Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
